학번,학생명,비밀번호,신청 학점,잔여 신청 학점,신청 제한 학점
20000000,테스트0,12345,0,15,15
20000001,테스트1,12345,0,15,15
20000002,테스트2,12345,0,15,15
20000003,테스트3,12345,0,15,15
20000004,테스트4,12345,0,15,15
20000005,테스트5,12345,0,15,15
20000006,테스트6,12345,0,15,15
20000007,테스트7,12345,0,15,15
20000008,테스트8,12345,0,15,15
20000009,테스트9,12345,0,15,15
20000010,테스트10,12345,0,15,15
20000011,테스트11,12345,0,15,15
20000012,테스트12,12345,0,15,15
20000013,테스트13,12345,0,15,15
20000014,테스트14,12345,0,15,15
20000015,테스트15,12345,0,15,15
20000016,테스트16,12345,0,15,15
20000017,테스트17,12345,0,15,15
20000018,테스트18,12345,0,15,15
20000019,테스트19,12345,0,15,15
20000020,테스트20,12345,0,15,15
20000021,테스트21,12345,0,15,15
20000022,테스트22,12345,0,15,15
20000023,테스트23,12345,0,15,15
20000024,테스트24,12345,0,15,15
20000025,테스트25,12345,0,15,15
20000026,테스트26,12345,0,15,15
20000027,테스트27,12345,0,15,15
20000028,테스트28,12345,0,15,15
20000029,테스트29,12345,0,15,15
20000030,테스트30,12345,0,15,15
20000031,테스트31,12345,0,15,15
20000032,테스트32,12345,0,15,15
20000033,테스트33,12345,0,15,15
20000034,테스트34,12345,0,15,15
20000035,테스트35,12345,0,15,15
20000036,테스트36,12345,0,15,15
20000037,테스트37,12345,0,15,15
20000038,테스트38,12345,0,15,15
20000039,테스트39,12345,0,15,15
20000040,테스트40,12345,0,15,15
20000041,테스트41,12345,0,15,15
20000042,테스트42,12345,0,15,15
20000043,테스트43,12345,0,15,15
20000044,테스트44,12345,0,15,15
20000045,테스트45,12345,0,15,15
20000046,테스트46,12345,0,15,15
20000047,테스트47,12345,0,15,15
20000048,테스트48,12345,0,15,15
20000049,테스트49,12345,0,15,15
20000050,테스트50,12345,0,15,15
20000051,테스트51,12345,0,15,15
20000052,테스트52,12345,0,15,15
20000053,테스트53,12345,0,15,15
20000054,테스트54,12345,0,15,15
20000055,테스트55,12345,0,15,15
20000056,테스트56,12345,0,15,15
20000057,테스트57,12345,0,15,15
20000058,테스트58,12345,0,15,15
20000059,테스트59,12345,0,15,15
20000060,테스트60,12345,0,15,15
20000061,테스트61,12345,0,15,15
20000062,테스트62,12345,0,15,15
20000063,테스트63,12345,0,15,15
20000064,테스트64,12345,0,15,15
20000065,테스트65,12345,0,15,15
20000066,테스트66,12345,0,15,15
20000067,테스트67,12345,0,15,15
20000068,테스트68,12345,0,15,15
20000069,테스트69,12345,0,15,15
20000070,테스트70,12345,0,15,15
20000071,테스트71,12345,0,15,15
20000072,테스트72,12345,0,15,15
20000073,테스트73,12345,0,15,15
20000074,테스트74,12345,0,15,15
20000075,테스트75,12345,0,15,15
20000076,테스트76,12345,0,15,15
20000077,테스트77,12345,0,15,15
20000078,테스트78,12345,0,15,15
20000079,테스트79,12345,0,15,15
20000080,테스트80,12345,0,15,15
20000081,테스트81,12345,0,15,15
20000082,테스트82,12345,0,15,15
20000083,테스트83,12345,0,15,15
20000084,테스트84,12345,0,15,15
20000085,테스트85,12345,0,15,15
20000086,테스트86,12345,0,15,15
20000087,테스트87,12345,0,15,15
20000088,테스트88,12345,0,15,15
20000089,테스트89,12345,0,15,15
20000090,테스트90,12345,0,15,15
20000091,테스트91,12345,0,15,15
20000092,테스트92,12345,0,15,15
20000093,테스트93,12345,0,15,15
20000094,테스트94,12345,0,15,15
20000095,테스트95,12345,0,15,15
20000096,테스트96,12345,0,15,15
20000097,테스트97,12345,0,15,15
20000098,테스트98,12345,0,15,15
20000099,테스트99,12345,0,15,15
20000100,테스트100,12345,0,15,15
20000101,테스트101,12345,0,15,15
20000102,테스트102,12345,0,15,15
20000103,테스트103,12345,0,15,15
20000104,테스트104,12345,0,15,15
20000105,테스트105,12345,0,15,15
20000106,테스트106,12345,0,15,15
20000107,테스트107,12345,0,15,15
20000108,테스트108,12345,0,15,15
20000109,테스트109,12345,0,15,15
20000110,테스트110,12345,0,15,15
20000111,테스트111,12345,0,15,15
20000112,테스트112,12345,0,15,15
20000113,테스트113,12345,0,15,15
20000114,테스트114,12345,0,15,15
20000115,테스트115,12345,0,15,15
20000116,테스트116,12345,0,15,15
20000117,테스트117,12345,0,15,15
20000118,테스트118,12345,0,15,15
20000119,테스트119,12345,0,15,15
20000120,테스트120,12345,0,15,15
20000121,테스트121,12345,0,15,15
20000122,테스트122,12345,0,15,15
20000123,테스트123,12345,0,15,15
20000124,테스트124,12345,0,15,15
20000125,테스트125,12345,0,15,15
20000126,테스트126,12345,0,15,15
20000127,테스트127,12345,0,15,15
20000128,테스트128,12345,0,15,15
20000129,테스트129,12345,0,15,15
20000130,테스트130,12345,0,15,15
20000131,테스트131,12345,0,15,15
20000132,테스트132,12345,0,15,15
20000133,테스트133,12345,0,15,15
20000134,테스트134,12345,0,15,15
20000135,테스트135,12345,0,15,15
20000136,테스트136,12345,0,15,15
20000137,테스트137,12345,0,15,15
20000138,테스트138,12345,0,15,15
20000139,테스트139,12345,0,15,15
20000140,테스트140,12345,0,15,15
20000141,테스트141,12345,0,15,15
20000142,테스트142,12345,0,15,15
20000143,테스트143,12345,0,15,15
20000144,테스트144,12345,0,15,15
20000145,테스트145,12345,0,15,15
20000146,테스트146,12345,0,15,15
20000147,테스트147,12345,0,15,15
20000148,테스트148,12345,0,15,15
20000149,테스트149,12345,0,15,15
20000150,테스트150,12345,0,15,15
20000151,테스트151,12345,0,15,15
20000152,테스트152,12345,0,15,15
20000153,테스트153,12345,0,15,15
20000154,테스트154,12345,0,15,15
20000155,테스트155,12345,0,15,15
20000156,테스트156,12345,0,15,15
20000157,테스트157,12345,0,15,15
20000158,테스트158,12345,0,15,15
20000159,테스트159,12345,0,15,15
20000160,테스트160,12345,0,15,15
20000161,테스트161,12345,0,15,15
20000162,테스트162,12345,0,15,15
20000163,테스트163,12345,0,15,15
20000164,테스트164,12345,0,15,15
20000165,테스트165,12345,0,15,15
20000166,테스트166,12345,0,15,15
20000167,테스트167,12345,0,15,15
20000168,테스트168,12345,0,15,15
20000169,테스트169,12345,0,15,15
20000170,테스트170,12345,0,15,15
20000171,테스트171,12345,0,15,15
